Mercury,Venus,Mars
11.95,13.34,4.98
11.84,13.39,4.96
11.72,13.43,4.95
11.59,13.47,4.94
11.47,13.53,4.93
11.33,13.57,4.92
11.19,13.62,4.91
11.04,13.66,4.90
10.89,13.69,4.90
10.73,13.74,4.90
10.57,13.78,4.90
10.41,13.82,4.91
10.24,13.87,4.90
10.06,13.91,4.90
9.89,13.96,4.92
9.70,13.99,4.93
9.53,14.03,4.94
9.33,14.07,4.95
9.15,14.12,4.96
8.97,14.16,4.97
8.77,14.19,5.00
8.59,14.24,5.00
8.40,14.27,5.03
8.21,14.32,5.05
8.02,14.35,5.07
7.84,14.38,5.10
7.66,14.42,5.12
7.47,14.46,5.15
7.30,14.50,5.19
7.13,14.53,5.21
6.96,14.57,5.24
6.80,14.60,5.28
6.65,14.64,5.31
6.51,14.67,5.35
6.38,14.69,5.39
6.25,14.73,5.44
6.16,14.77,5.47
6.06,14.80,5.52
5.98,14.83,5.55
5.92,14.86,5.60
5.86,14.89,5.65
5.83,14.93,5.68
5.81,14.96,5.74
5.80,14.97,5.79
5.82,15.02,5.83
5.85,15.05,5.88
5.89,15.07,5.93
5.95,15.10,5.99
6.03,15.13,6.04
6.12,15.15,6.09
6.21,15.17,6.15
6.34,15.21,6.21
6.46,15.23,6.26
6.60,15.26,6.32
6.75,15.29,6.38
6.89,15.31,6.44
7.06,15.33,6.49
7.23,15.35,6.56
7.39,15.37,6.63
7.58,15.40,6.68
7.76,15.43,6.75
7.94,15.44,6.81
8.14,15.47,6.87
8.32,15.49,6.93
8.51,15.51,6.99
8.70,15.53,7.06
8.89,15.55,7.13
9.07,15.57,7.19
9.26,15.59,7.26
9.46,15.61,7.32
9.63,15.63,7.39
9.82,15.64,7.45
9.99,15.67,7.52
10.16,15.67,7.59
10.35,15.70,7.66
10.51,15.72,7.73
10.67,15.73,7.81
10.83,15.75,7.86
10.98,15.76,7.94
11.13,15.77,8.01
11.27,15.79,8.08
11.40,15.80,8.16
11.54,15.82,8.22
11.67,15.83,8.30
11.80,15.84,8.36
11.90,15.85,8.44
12.01,15.85,8.51
12.12,15.88,8.59
12.21,15.88,8.66
12.30,15.90,8.73
12.38,15.90,8.81
12.45,15.91,8.87
12.52,15.92,8.95
12.58,15.93,9.02
12.63,15.94,9.10
12.67,15.94,9.17
12.71,15.94,9.25
12.74,15.96,9.32
12.77,15.96,9.39
12.79,15.97,9.46
12.79,15.97,9.54
12.80,15.97,9.61
12.79,15.98,9.69
12.77,15.98,9.77
12.76,15.99,9.83
12.72,15.99,9.91
12.70,16.00,9.98
12.65,15.99,10.05
12.60,16.00,10.13
12.54,15.99,10.21
12.48,16.00,10.29
12.41,16.00,10.36
12.33,16.00,10.44
12.24,16.00,10.51
12.15,16.00,10.59
12.05,15.99,10.66
11.95,16.00,10.73
11.83,15.99,10.81
11.71,15.99,10.89
11.59,15.99,10.96
11.46,15.99,11.04
11.33,15.98,11.11
11.18,15.97,11.19
11.03,15.96,11.27
10.88,15.96,11.34
10.72,15.96,11.41
10.56,15.94,11.49
10.40,15.95,11.56
10.22,15.94,11.64
10.06,15.93,11.70
9.87,15.92,11.79
9.70,15.91,11.86
9.52,15.90,11.93
9.33,15.89,12.01
9.15,15.89,12.09
8.95,15.87,12.15
8.77,15.85,12.23
8.57,15.85,12.30
8.39,15.84,12.38
8.20,15.82,12.45
8.00,15.81,12.53
7.82,15.80,12.60
7.64,15.79,12.68
7.47,15.77,12.75
7.29,15.75,12.82
7.12,15.74,12.90
6.95,15.72,12.97
6.80,15.70,13.04
6.65,15.69,13.11
6.51,15.68,13.19
6.37,15.66,13.26
6.26,15.64,13.33
6.15,15.63,13.41
6.06,15.60,13.48
5.98,15.58,13.55
5.91,15.57,13.63
5.86,15.55,13.70
5.83,15.53,13.77
5.80,15.50,13.84
5.80,15.48,13.91
5.82,15.47,13.99
5.85,15.44,14.05
5.89,15.41,14.12
5.96,15.40,14.19
6.03,15.38,14.26
6.11,15.35,14.33
6.23,15.32,14.40
6.34,15.30,14.48
6.47,15.29,14.55
6.61,15.25,14.61
6.75,15.23,14.69
6.91,15.20,14.76
7.07,15.17,14.83
7.23,15.15,14.89
7.41,15.12,14.96
7.59,15.10,15.03
7.77,15.06,15.11
7.96,15.04,15.17
8.14,15.01,15.23
8.33,14.98,15.32
8.51,14.95,15.38
8.71,14.92,15.45
8.89,14.89,15.51
9.08,14.85,15.58
9.28,14.82,15.64
9.46,14.79,15.70
9.64,14.76,15.77
9.82,14.73,15.84
10.00,14.70,15.91
